source_row_id,manufacturer,part_number,source_name,install_time_hours,source_weight_lb,weight_status,package_length,package_width,package_height,product_url,source_document,source_date,source_archive_locator,intake_status,category_candidate,runtime_candidate,notes
westcan-2026-07-21-row-0002,Westcan Manufacturing,10-1007,Solid Behind 2nd Row Partition 07-24 Sprinter High Roof,2.0,84,published,79 in,35 in,4 in,https://shop.westcanmanufacturing.com/product/solid-behind-2nd-row-partition-07-sprinter-high-roof/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,partition,future_review,
westcan-2026-07-21-row-0003,Westcan Manufacturing,10-1036,Solid Sliding Door Partition 07-24 Sprinter High &amp; Super Hr,2.5,81,published,70 in,30 in,7 in,https://shop.westcanmanufacturing.com/product/solid-sliding-door-partition-07-sprinter-high-super-hr/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,partition,future_review,
westcan-2026-07-21-row-0004,Westcan Manufacturing,10-1037,Solid Sliding Door Partition 07-24 Sprinter Standard Roof,2.5,72,published,60 in,29 in,6 in,https://shop.westcanmanufacturing.com/product/solid-sliding-door-partition-07-sprinter-standard-roof/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,partition,future_review,
westcan-2026-07-21-row-0005,Westcan Manufacturing,10-1038,Perforated Sliding Door Partit 07-24 Sprinter High &amp; Super Hr,2.5,78,published,70 in,30 in,8 in,https://shop.westcanmanufacturing.com/product/perforated-sliding-door-partit-07-sprinter-high-super-hr/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,unknown,future_review,
westcan-2026-07-21-row-0006,Westcan Manufacturing,10-1039,Perforated Sliding Door Partit 07-24 Sprinter Standard Roof,2.5,70,published,60 in,29 in,6 in,https://shop.westcanmanufacturing.com/product/perforated-sliding-door-partit-07-sprinter-standard-roof/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,unknown,future_review,
westcan-2026-07-21-row-0007,Westcan Manufacturing,10-1040,Windowed Sliding Door Partitio 07-24 Sprinter High &amp; Super Hr,2.5,82,published,70 in,30 in,8 in,https://shop.westcanmanufacturing.com/product/windowed-sliding-door-partitio-07-sprinter-high-super-hr/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,unknown,future_review,
westcan-2026-07-21-row-0008,Westcan Manufacturing,10-1041,Windowed Sliding Door Partitio 07-24 Sprinter Standard Roof,2.5,71,published,61 in,29 in,7 in,https://shop.westcanmanufacturing.com/product/windowed-sliding-door-partitio-07-sprinter-standard-roof/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,unknown,future_review,
westcan-2026-07-21-row-0009,Westcan Manufacturing,10-1042,Driver Side Only Partition G2 07-24 Sprinter Hr/super Hr,1.0,24,published,69 in,26 in,4 in,https://shop.westcanmanufacturing.com/product/driver-side-only-partition-g2-07-24-sprinter-hr-super-hr/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,partition,future_review,
westcan-2026-07-21-row-0010,Westcan Manufacturing,10-1043,Passenger Side Only Partition 07-24 Sprinter Hr/super Hr G2,1.0,24,published,69 in,26 in,4 in,https://shop.westcanmanufacturing.com/product/passenger-side-only-partition-07-24-sprinter-hr-super-hr-g2/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,partition,future_review,
westcan-2026-07-21-row-0011,Westcan Manufacturing,10-1044,Solid Fixed Partition  G2 07-24 SPRINTER HIGH ROOF,2.0,71,published,70 in,27 in,8 in,https://shop.westcanmanufacturing.com/product/solid-fixed-partition-g2-07-24-sprinter-high-roof/,WestcanList_2026-07-21(1).xlsx,2026-07-21,slate-engineering-source-archive/westcan-products/WestcanList_2026-07-21.xlsx,source_registered,partition,future_review,
